Epic,1: Heart Stone: Add 1 HEART to your max,1,h,,x,,,,,,,,,,,
Epic,"2: Fighter’s Girdle: Armor, +1 Armor, When DYING, add 2 to your roll",2,f,,,,,,,x,,,,,,
Epic,3: King’s Coins: Gain 3 HERO COINS that can be given to OTHER PLAYERS for heroic deeds,3,k,,x,,,,,,,,,,,
Epic,"4: Chain Energy Gem: Item, Attach to a weapon, Make that weapon Magical, Effort done hits all CLOSE enemies",4,c,,x,,,,,,,,,,,
Epic,"5: Gemini Jewel: Item, Attune to any INT SPELL, That spell now casts twice when used, on Targets of choice",5,g,,x,,,,,,,,,,,
Epic,"6: Salamander Wristlet: Item, Regenerate 1 HP each round, unless DYING",6,s,,x,,x,,,,,,,,,
Epic,"7: Frost Bracers: Armor, +3 Armor, Become immune to any damage done or ill effects of cold",7,f,,,,,,,x,,,,,,
Epic,"8: Acid Whetstone: Item, Sharpen a bladed weapon, Successful attacks with that weapon destroy 1 enemy gear",8,a,,x,,,,,,,,,,,
Epic,"9: Helmet of Udin: Armor, +4 Armor, +3 CHA, Allies NEAR you gain +1 Armor",9,h,,,,,,,x,,,,,,
Epic,"10: Ring of Invisibility: Item, Make a WIS check to activate, remain invisible for 1D4 ROUNDS",10,r,,x,,x,,,,,,,,,
Epic,"11: Crown of Goblins: Item, Command all Goblins with absolute authority, even if they hate you",11,c,,x,x,,,,,,,,,,
Epic,"12: Illusory Self: INT SPELL, Conjure a very realistic mirror-clone of yourself",12,i,,,,,,,,x,,,,x,
Epic,"13: Dimension Jump: INT SPELL, Warp to any location you can see or can accurately remember",13,d,,,,,,,,x,,,,x,
Epic,"14: Antlers of the Storm: Armor, +3 Armor, With a WIS check you can command the weather when outdoors",14,a,,,,,,,x,,,,,,
Epic,"15: Hand of Resurrection: Item, Raise 1 dead creature back to full HP, roll 1D4, if a 1 or 2 the item is destroyed",15,h,,x,,,,,,,,,,,
Epic,"16: Dire Bear: WIS POWER, Become a colossal bear for 1D4 ROUNDS, Add 1 HEART, Double bonuses",16,d,,,,,,,,,x,,x,,
Epic,"17: Iron Skin: WIS POWER, Your ARMOR is 20 for 1D4 ROUNDS",17,i,,,,,,,,,x,,x,,
Epic,"18: Hoppy Gar: Food, Heal to Full HP, All checks are EASY for 1D4 ROUNDS",18,h,,,,,,x,,,,,,,
Epic,"19: Dwarven Bomb: Weapon, Fuse burns for 1D4 ROUNDS, Explodes doing 4D12 to anything NEAR",19,d,,,,,,,,,,x,,x,
Epic,"20: Hood of Fear: Armor, +3 Armor, Any enemies who can see you make a WIS check or flee on their turn",20,h,,,,,,,x,,,,,,
Epic,"21: Diamond Tiara: Item, A crown worth more than a small city",21,d,,x,x,,,,,,,,,,
Epic,"22: Ivory Rose: Item, Bestow this on one person, that person will guard you with their life",22,i,,x,,,,,,,,,,,
Epic,"23: Tooth of the Agnar: Item, Attach to 1 Weapon, That weapon does ULTIMATE Effort on any roll of 15+",23,t,,x,,,,,,,,,,,
Epic,"24: Magma Coil: Item, Give off a belch of smoke and fire to make any STR check EASY or STR EFFORT Ultimate",24,m,,x,,,,,,,,,,,
Epic,"25: Frog Boots: Armor, +2 Armor, When moving FAR, leap with ease",25,f,,,,,,,x,,,,,,
Epic,"26: Heroic Tabard: Item, Whenever you cry “Huzzah!” those who answer “Huzzah!” roll EASY on their next turn",26,h,,x,x,,,,,,,,,,
Epic,"27: Song of the Mountain: INT SPELL, Sing! All enemies within FAR range are -5 CHA to resist persuasion",27,s,,,,,,,,x,,,,x,
Epic,"28: Harpoon Gun: Weapon, Magical, Attack to grapple a foe with a +5 STR if they try to escape",28,h,,,,,,,,,,x,x,,
Epic,"29: Bow of Seeking: Weapon, Magical, If you know a target’s name, you never miss it, even around corners",29,b,,,,,,,,,,x,,x,
Epic,"30: Pet Slime Cube: Item, This tiny Slime Cube has imprinted on you as parent, 3” on a side",30,p,,x,,,,,,,,,,,
Epic,"31: Pet Goblin: Item, This hapless, gearless runt has sworn never to leave your side",31,p,,x,,,,,,,,,,,
Epic,"32: Fire Blade: Weapon, Magical, +3 Attempts/Effort, Ignites flammables, 1D4 Burning for 1D4 ROUNDS",32,f,,,,,,,,,,x,x,,
Epic,"33: Wave of Fury: WIS POWER, If NEAR the ocean, call forth a massive wave, impacts in 1D4 ROUNDS",33,w,,,,,,,,,x,,,x,
Epic,"34: Gravity Inversion: INT SPELL, Invert gravity within FAR range for 1D4 ROUNDS",34,g,,,,,,,,x,,,,x,
Epic,"35: Brain Horror Helm: Armor, +3 Armor, Gain the ‘It shows you things’ property of a Brain Horror",35,b,,,,,,,x,,,,,,
Epic,"36: Gunner’s Tripod: Item, Gain +5 Attempts/Effort when firing at targets beyond FAR range with a Weapon",36,g,,x,,,,,,,,,,,
Epic,"37: Watcher: Item, A small glass eye, place anywhere and see through it within 1 mile",37,w,,x,,,,,,,,,,,
Epic,"38: Dobbs’ Cheddar: Food, 3 Count, Add to any FOOD to double that FOOD’s effects",38,d,,,,,,x,,,,,,,
Epic,"39: Yalfonso’s Disc: Item, A frictionless, levitating disc of energy that holds up to 200 pounds",39,y,,x,,,,,,,,,,,
Epic,"40: Ramthas Battle Harness: Armor, +1 Armor, Gain 3 more slots in EQUIPPED gear",40,r,,,,,,,x,,,,,,
Epic,"41: Ronaldo’s Backwagon: Item, Gain 10 more slots in CARRIED gear",41,r,,x,x,,,,,,,,,,
Epic,"42: Call of Aram: Item, A mighty war horn, Sound a call that can be heard for 5 miles, with a +3 CHA",42,c,,x,,,,,,,,,,,
Epic,"43: Genetic Soup: Food, changes the eater into a random new BIO-FORM instantly",43,g,,,,,,x,,,,,,,
Epic,"44: Runic Rope: Item, ANY roll using this rope is EASY, 50’",44,r,,x,,,,,,,,,,,
Epic,"45: Thoor’s Stone: Item, Only the looter of this object is able to lift or move it, a baseball-sized cube",45,t,,x,,,,,,,,,,,
Epic,"46: Gnomish Beam Goggles: Armor, +2 Armor, Fires a ray of ULTIMATE Weapon damage, but attacks are HARD",46,g,,,,,,,x,,,,,,
Epic,"47: Feral Claws: Weapon, Magical, +3 Attempts, Retractable steel blades, Roll EFFORT TWICE on a hit",47,f,,,,,,,,,,x,x,,
Epic,"48: Belt of Guzzling: Armor, +4 Armor, Never fail another CON check",48,b,,,,,,,x,,,,,,
Epic,"49: Book of Infinity: Item, You have perfect recall of every fact or detail you have ever encountered",49,b,,x,,,,,,,,,,,
Epic,"50: Amulet of Thunder: Item, When rolling ULTIMATE, re-roll anything less than a 6, the second roll is final",50,a,,x,,,,,,,,,,,
