Ancient,"1: Moldy Buns: Food, Heal 5 HP but tastes simply awful",1,M,,,,,,X,,,,,,,
Ancient,"2: Levitation: INT Spell, Enchant a target to float up to 6 feet high for 1D4 ROUNDS",2,L,,,,,,,,X,,,,X,
Ancient,"3: Identify: INT Spell, Give a target +3 on an INT/Investigate roll, No Attempt needed to cast",3,I,,,,,,,,X,,,,,
Ancient,"4: 10 Magic Arrows: Item, Inflict Magical Damage with a bow shot, can be retrieved, broken on crit fail",4,10,,,,,,,,,,X,,X,
Ancient,"5: Speedy Snack: Food, Gain a bonus MOVE after your next MOVE",5,S,,,,,,X,,,,,,,
Ancient,"6: Spider Bites: Food, Heal 2D6 HP but you’re pretty much eating a bug",6,S,,,,,,X,,,,,,,
Ancient,"7: Feast o’ Fingers: Food, Heal all allies 1D8 if they are at CLOSE range",7,F,,,,,,X,,,,,,,
Ancient,"8: Armor of Faith: WIS Power, Give a target +3 Armor for 1 Turn",8,A,,,,,,,,,X,,,X,
Ancient,"9: Silver Sword: Weapon, +1 Effort, Silver properties",9,S,,,,,,,,,,X,X,,
Ancient,"10: Spiked Net: Weapon, STR check to escape, Entangled, Move NEAR only and all checks HARD",10,S,,,,,,,,,,X,,x,
Ancient,"11: Disguise Kit: Item, Whenever deceiving a stranger Do ULTIMATE effort and EASY checks",11,S,,X,x,,,,,,,,,,
Ancient,"12: Mithril Vest: Armor, Subtract 2 from all Weapon Damage done against you",12,M,,,,,,,X,,,,,,
Ancient,"13: Aegis Amulet: Item, Roll 1D8 when dying",13,A,,X,,,x,,,,,,,,
Ancient,"14: Iradrum Heart: Food, For 24 hours after eating if you drop to 0 HP instantly recover to 1 HP",14,I,,,,,,X,,,,,,,
Ancient,"15: Ire Bacons: Food, Heal 3D12",15,I,,,,,,X,,,,,,,
Ancient,"16: Fin Boots: Armor, +1 Armor, double effort and range when swimming",16,F,,,,,,,X,,,,,,
Ancient,"17: Red Gar: Food, Heal to full HP, absorb the next attack unharmed",17,R,,,,,,X,,,,,,,
Ancient,"18: Cloak of Shadows: Armor, +1 Armor, roll EASY checks when sneaking",18,C,,,,,,,X,,,,,,
Ancient,"19: Lion Shield: Armor, +2 Armor, Allies that are NEAR also get +2 Armor",19,L,,,,,,,X,,,,,,
Ancient,"20: Demon Helmet: Armor, +1 Armor, +3 CHA when intimidating",20,D,,,,,,,X,,,,,,
Ancient,"21: Healing Touch: WIS Power, Touch to heal an ally with Magical Effort",21,H,,,,,,,,,X,,x,,
Ancient,"22: Healing Nova: WIS Power, Heal all NEAR allies with double Magical Effort",22,H,,,,,,,,,X,,,x,
Ancient,"23: Grapple Vine: WIS Power, When you move, pull a NEAR monster or ally with you, Opposing STR to resist",23,G,,,,,,,,,X,,,x,
Ancient,"24: Lightning Bolt: INT Spell, Burn 1-12 HP, add to a blast of magical effect, double against metal-clad",24,L,,,,,,,,X,,,,x,
Ancient,"25: Ice Blast: INT Spell, Inflict magical damage and immobilize target for 1 turn",25,I,,,,,,,,X,,,,x,
Ancient,"26: Arcane Bomb: INT Spell, Plant this glowing orb, in 1D4 ROUNDS explodes for 2D12, NEAR range",26,A,,,,,,,,X,,,,x,
Ancient,"27: Ragged Battleaxe: Weapon, -2 to Attempts but roll ULTIMATE effort every time",27,R,,,,,,,,,,X,x,,
Ancient,"28: Fireball: INT Spell, Blast any targets within NEAR range of a location",28,F,,,,,,,,X,,,,x,
Ancient,"29: Claw Boots: Armor, Walk on any surface in any direction without a Check",29,F,,,,,,,X,,,,,,
Ancient,"30: Heart Stone: Item, add 1 Heart to your max",30,H,,X,,,,,,,,,,,
Ancient,"31: Enchanting: WIS Power, Enchant an item to do magical effort and a +1 per Heart of Effort spent",31,E,,,,,,,,,X,,,,
Ancient,"32: Enchanted Grimoire: Item, Consider a natural 19+ a critical hit when casting spells",32,E,,X,,,,,,,,,,,
Ancient,"33: Warrior’s Amulet: Item, Use magical effort with any weapon",33,W,,X,,,x,,,,,,,,
Ancient,"34: Divine Shield: WIS Power, Enchant a target you can see to absorb the next 10 Effort done to it",34,D,,,,,,,,,X,,,x,
Ancient,"35: Staff of Elements: Item, Triple any elemental Magical Effort you do with INT SPELLS",35,S,,X,,,,,,,,,,x,
Ancient,"36: Cloak of Aras: Armor, Deflect 1 Weapon attack against you per turn",36,C,,,,,,,X,,,,,,
Ancient,"37: Silver Gauntlets: Armor, +3 STR when gripping or grappling, silver properties",37,S,,,,,,,X,,,,,,
Ancient,"38: The Iron Hook: Weapon, Use a turn to pull a target to your location, FAR range",38,T,,,,,,,,,,X,,x,
Ancient,"39: Turn Undead: WIS Power, For 1 ROUND, repel 1D8 undead creatures, They cannot get within NEAR range",39,T,,,,,,,,,X,,,x,
Ancient,"40: Terror Shard: Item, Hold aloft, living things must resist with WIS or flee for a turn",40,T,,X,,,,,,,,,,x,
Ancient,"41: Resurrection: WIS Power, HARD roll, In 4 ROUNDS a deceased target you touch will live again with 1 HP",41,R,,,,,,,,,X,,x,,
Ancient,"42: Dragon Orb: Item, Blast 4D12 Magical Fire damage, FAR range, The item is destroyed",42,D,,X,,,,,,,,,,x,
Ancient,"43: Dragon Helmet: Armor, +2 Armor, Wearer immune to damage inflicted by fire",43,D,,,,,,,X,,,,,,
Ancient,"44: Ring of Ghosts: Item, On a 15+ Attempt create a clone NEAR that performs the same attack or action",44,R,,X,,x,,,,,,,,,
Ancient,"45: Crown of Madness: Item, Make a target take a random action (GM’s roll)",45,C,,X,,,,,,,,,,x,
Ancient,"46: Smoked Roc Wings: Food, Fly for 4 ROUNDS",46,S,,,,,,X,,,,,,,
Ancient,"47: Black Gar: Food, +10 Armor for 4 ROUNDS",47,B,,,,,,X,,,,,,,
Ancient,"48: Queen’s Kiss: Food, Your next action is an automatic critical success",48,Q,,,,,,X,,,,,,,
