Shabby,"1: Soldier’s Rations: Food, Heal 1D4 HP",1,s,,,,,,x,,,,,,,
Shabby,"2: Captain’s Rations: Food, Heal 1D6 HP",2,c,,,,,,x,,,,,,,
Shabby,3: Coin Pouch: 1D10 Coin,3,c,x,,,,,,,,,,,,
Shabby,4: Coin Satchel: 2D10 Coin,4,c,x,,,,,,,,,,,,
Shabby,"5: Common Sword: Weapon, Standard Steel blade with heavy use",5,c,,,,,,,,,,x,x,,
Shabby,"6: Used Shield: Armor, +2 Armor, Heavily worn, will break on 3rd hit",6,u,,,,,,,x,,,,,,
Shabby,"7: Mechanic’s tools: Item, Hammer, spanner, bits and pieces, roll EASY checks on mechanical tasks",7,m,,x,,,,,,,,,,,
Shabby,"8: Common Helmet: Armor, +1 Armor",8,c,,,,,,,x,,,,,,
Shabby,"9: Worker’s Clothes: Armor, +1 Armor, Durable coveralls, gloves and hat",9,w,,,,,,,x,,,,,,
Shabby,10: Coin Box: 3D12 Coin,10,c,x,,,,,,,,,,,,
Shabby,"11: Lantern: Item, Easy-light box lantern, lights all within NEAR range",11,l,,x,,,,,,,,,,,
Shabby,"12: Climber’s Spikes: Item, Climb a route as normal. Any who follow roll EASY",12,c,,x,,,,,,,,,,,
Shabby,"13: 50’ Rope: Item, 50 feet of sturdy fiber rope coiled up",13,50,,x,,,,,,,,,,,
Shabby,"14: Pry Bar: Item, A 3 foot iron bar with one hooked end, roll EASY when forcing doors",14,p,,x,,,,,,,,,,,
Shabby,"15: First Aid Kit: Item, Bandages and tinctures for field dressing, consume to give a dying ally 1 HP",15,f,,x,,,,,,,,,,,
Shabby,"16: Ladder: Item, A wooden ladder with 12 rungs, 12 feet high",16,l,,x,,,,,,,,,,,
Shabby,"17: Wool Cloak: Armor, +1 Armor, A typical hooded cape for winter wear",17,w,,,,,,,x,,,,,,
Shabby,"18: Skin of Stale Gar: Food, Consume to make your next roll EASY",18,s,,,,,,x,,,,,,,
Shabby,"19: Hunting Snare: Item, Re-usable spring-loaded trap, If triggered will immobilize and do 1 damage",19,h,,x,,,,,,,,,,,x
Shabby,20: Dusty Gem: Worth 1D100 Coin,20,d,x,,,,,,,,,,,,
Shabby,"21: Torch: Item, An-oil soaked stick wrapped in cloth, illuminates NEAR for 1D8 ROUNDS",21,t,,x,,,,,,,,,,,
Shabby,"22: Rivet Kit: Item, A small hammer and press tool used to press rivets through leather or wood",22,r,,x,,,,,,,,,,,
Shabby,"23: Smoke Canister: Item, Destroy to create a cloud of opaque smoke with NEAR radius for 1D4 ROUNDS",23,s,,x,,,,,,,,x,,x,
Shabby,"24: Turkey Leg: Food, Heal 1D10 HP",24,t,,,,,,x,,,,,,,
Shabby,"25: Stimulant Elixir: Food, On your next turn move FAR as if it was NEAR",25,s,,,,,,x,,,,,,,
Shabby,"26: Blank Book: Item, A blank journal-style book with sheathed pen",26,b,,x,,,,,,,,,,,
Shabby,"27: Metal Cutters: Item, A large snip tool for cutting bars or chains, roll Ultimate Effort when doing so",27,m,,x,,,,,,,,,,,
Shabby,"28: Small Tent: Item, Houses 3 individuals, packs into small bundle",28,s,,x,,,,,,,,,,,
Shabby,"29: Canvas Tarp: Item, A durable cloth square NEAR long on each side",29,c,,x,,,,,,,,,,,
Shabby,"30: Worn Parachute: Item, Deploy when falling to nullify fall damage, has 1% chance of failure",30,w,,x,,,,,,,,,,,
Shabby,31: Coin Stash: 2D100 Coin,31,c,x,,,,,,,,,,,,
Shabby,"32: Worn Long Bow: Weapon, Has 10% chance of breaking when used",32,w,,,,,,,,,,x,,x,
Shabby,"33: Common Ammo: Standard ammunition, 10 count, roll for type",33,c,,,,,,,,,,,,x,
Shabby,"34: Common Dagger: Weapon, Thrown, Piercing, Fast",34,c,,,,,,,,,,x,,x,
Shabby,"35: Pikeman’s Spear: Weapon, Has NEAR reach, cannot be thrown",35,p,,,,,,,,,,x,x,,
Shabby,"36: Ferry Pole: Item, A sturdy pole that can reach FAR, very difficult to carry",36,f,,x,,,,,,,,,,,
Shabby,"37: Fishing Gear: Item, Standard low-cost fishing tackle and rod",37,g,,x,,,,,,,,,,,
Shabby,"38: Cooking Set: Item, Pot, plates, utensils, spices. Heal 5 HP OVER HEART max when camping",38,c,,x,,,,,,,,,,,
Shabby,"39: Large Magnet: Item, Powerful magnet that can hold 100 pounds",39,l,,x,,,,,,,,,,,
Shabby,"40: Hacksaw: Item, used to very slowly cut metal or wood with precision",40,h,,x,,,,,,,,,,,
Shabby,"41: Traveler’s Meal: Food, Heal up to 5 people for 1 HEART",41,t,,,,,,x,,,,,,,
Shabby,"42: Fur-lined Coat: Armor, +1 Armor, Disregard negative effects of extreme cold",42,f,,,,,,,x,,,,,,
Shabby,"43: Corrosion-Proof Gloves: Armor, +1 Armor, Chemically treated leather that is immune to Acid or corrosion",43,c,,,,,,,x,,,,,,
Shabby,"44: War Banner: Item, A canvas banner mounted on a 10 foot pole, unmarked",44,w,,x,,,,,,,,,,,
Shabby,"45: Anchor: Item, An iron anchor and 50 foot chain used on medium sized boats",45,a,,x,,,,,,,,,,,
Shabby,"46: Highborn Clothes: Armor, +1 Armor, One set of high-end, tailored formal wear",46,h,,,,,,,x,,,,,,
